system,seed,proc_s,audio_s,rtf,mac_per_sample,state_bytes
none,0,0.0038,15.0,0.00025,0.0,0
nlms_f64,0,0.7995,15.0,0.0533,6400.0,51200
nlms_q15,0,6.1535,15.0,0.41023,6400.0,12808
speex,0,0.0672,15.0,0.00448,369.0,78080
none,1,0.0032,15.0,0.00021,0.0,0
nlms_f64,1,0.9432,15.0,0.06288,6400.0,51200
nlms_q15,1,6.2781,15.0,0.41854,6400.0,12808
speex,1,0.0629,15.0,0.00419,369.0,78080
none,2,0.0014,15.0,0.0001,0.0,0
nlms_f64,2,0.8336,15.0,0.05557,6400.0,51200
nlms_q15,2,5.9349,15.0,0.39566,6400.0,12808
speex,2,0.064,15.0,0.00427,369.0,78080
