run_id,stage,axis,level,scenario_key,seed,system,status,fail_reason,divergence_time_s,talk,noise_type,snr_db,ser_db,rt60_target_s,rt60_achieved_echo_s,rt60_achieved_near_s,speaker_mic_distance_m,absorption_calibrated,absorption_sabine_init,filter_length_ms,mu,frame_size,int16_scale,int16_headroom_db,erle_steady_state_db,erle_n_valid_frames,convergence_time_s,converged,segsnr_db,stoi,pesq_wb,lsd_db,misalignment_final_db,audibility_fraction,audibility_excess_db,audibility_n_units,audibility_fraction_traj,audibility_fraction_interp,recon_err_db,recon_err_interp_db,speex_tworun_erle_diff_db,mu_q15,delta_q30,coeff_bits,n_stall_events,stall_first_time_s,n_tap_stalls,n_sat_total,n_sat_y,n_sat_err,n_sat_gain,n_sat_coeff,n_sat_coeff_taps,sat_first_time_s,coeff_div_final_db,coeff_div_steady_db,far_speaker,near_speaker,wall_time_s,git_sha
a.rt60_distance.rt0.2_d0.3.s0.none,a,rt60_distance,rt0.2_d0.3,rt0.2_d0.3_far_single_none_ser0,0,none,ok,,,far_single,none,,0.0,0.2,0.19939854000851598,0.20082043661629292,0.3,0.4927683500297412,0.5141930609005995,,,,14847.881099871236,6.0,-7.106122944641459e-05,671,0.0,True,,,,,,0.9833107191316146,38.668616031150066,14740,,,,,,,,,,,,,,,,,,,,,260,61,0.362,3fc93f4
a.rt60_distance.rt0.2_d0.3.s0.nlms_f64,a,rt60_distance,rt0.2_d0.3,rt0.2_d0.3_far_single_none_ser0,0,nlms_f64,ok,,,far_single,none,,0.0,0.2,0.19939854000851598,0.20082043661629292,0.3,0.4927683500297412,0.5141930609005995,200.0,0.5,,14847.881099871236,6.0,28.960804489357926,671,3.84,True,,,,,-17.22352411298279,0.7352103120759838,22.329771037289458,14740,0.8719131614654003,0.8098371777476255,-18.568158256478235,-23.815118466496852,,,,,,,,,,,,,,,,,260,61,5.033,3fc93f4
a.rt60_distance.rt0.2_d0.3.s0.speex,a,rt60_distance,rt0.2_d0.3,rt0.2_d0.3_far_single_none_ser0,0,speex,ok,,,far_single,none,,0.0,0.2,0.19939854000851598,0.20082043661629292,0.3,0.4927683500297412,0.5141930609005995,200.0,,160,14847.881099871236,6.0,33.32364493496763,671,5.64,True,,,,,,0.7917910447761194,21.39788129938191,14740,,,,,0.0,,,,,,,,,,,,,,,,260,61,0.242,3fc93f4
a.rt60_distance.rt0.2_d0.3.s0.nlms_q15,a,rt60_distance,rt0.2_d0.3,rt0.2_d0.3_far_single_none_ser0,0,nlms_q15,ok,,,far_single,none,,0.0,0.2,0.19939854000851598,0.20082043661629292,0.3,0.4927683500297412,0.5141930609005995,200.0,0.5,,14847.881099871236,6.0,11.767844586482749,671,0.0,True,,,,,-1.586885113860563,0.9679104477611941,29.208528531540754,14740,0.9778833107191316,,-17.12421853934163,,,16384,1074,15,32575,0.224875,492487361,31625,0,0,5557,26068,34143,0.000125,-2.195523738861084,-2.8715295791625977,260,61,10.816,3fc93f4
a.rt60_distance.rt0.2_d0.3.s1.none,a,rt60_distance,rt0.2_d0.3,rt0.2_d0.3_far_single_none_ser0,1,none,ok,,,far_single,none,,0.0,0.2,0.19939854000851598,0.20082043661629292,0.3,0.4927683500297412,0.5141930609005995,,,,10702.32096639893,6.0,-1.8453859145970036e-05,693,0.0,True,,,,,,1.0,36.64114377272581,15224,,,,,,,,,,,,,,,,,,,,,7729,1221,0.327,3fc93f4
a.rt60_distance.rt0.2_d0.3.s1.nlms_f64,a,rt60_distance,rt0.2_d0.3,rt0.2_d0.3_far_single_none_ser0,1,nlms_f64,ok,,,far_single,none,,0.0,0.2,0.19939854000851598,0.20082043661629292,0.3,0.4927683500297412,0.5141930609005995,200.0,0.5,,10702.32096639893,6.0,41.52379222215175,693,2.5,True,,,,,-23.473293349783088,0.6408959537572254,14.652227895738427,15224,0.8108906988964792,0.7620204939569102,-32.086255947042176,-33.928335357853754,,,,,,,,,,,,,,,,,7729,1221,5.023,3fc93f4
a.rt60_distance.rt0.2_d0.3.s1.speex,a,rt60_distance,rt0.2_d0.3,rt0.2_d0.3_far_single_none_ser0,1,speex,ok,,,far_single,none,,0.0,0.2,0.19939854000851598,0.20082043661629292,0.3,0.4927683500297412,0.5141930609005995,200.0,,160,10702.32096639893,6.0,35.31769267265755,693,8.58,True,,,,,,0.9036389910667367,21.454486710409444,15224,,,,,0.0,,,,,,,,,,,,,,,,7729,1221,0.241,3fc93f4
a.rt60_distance.rt0.2_d0.3.s1.nlms_q15,a,rt60_distance,rt0.2_d0.3,rt0.2_d0.3_far_single_none_ser0,1,nlms_q15,ok,,,far_single,none,,0.0,0.2,0.19939854000851598,0.20082043661629292,0.3,0.4927683500297412,0.5141930609005995,200.0,0.5,,10702.32096639893,6.0,16.379663707746303,693,0.39999999999999997,True,,,,,-1.2683074980878035,0.9850893326326853,27.561570810701415,15224,0.9891618497109826,,-17.84955203461186,,,16384,1074,15,32595,0.338125,548539037,41643,0,0,13197,28446,31585,0.002,-1.5530177354812622,-1.9406092166900635,7729,1221,11.181,3fc93f4
a.rt60_distance.rt0.2_d0.3.s2.none,a,rt60_distance,rt0.2_d0.3,rt0.2_d0.3_far_single_none_ser0,2,none,ok,,,far_single,none,,0.0,0.2,0.19939854000851598,0.20082043661629292,0.3,0.4927683500297412,0.5141930609005995,,,,17990.05274005171,6.0,-2.8363661955172106e-05,701,0.0,True,,,,,,0.9896103896103896,36.96239771428714,15400,,,,,,,,,,,,,,,,,,,,,8224,908,0.324,3fc93f4
a.rt60_distance.rt0.2_d0.3.s2.nlms_f64,a,rt60_distance,rt0.2_d0.3,rt0.2_d0.3_far_single_none_ser0,2,nlms_f64,ok,,,far_single,none,,0.0,0.2,0.19939854000851598,0.20082043661629292,0.3,0.4927683500297412,0.5141930609005995,200.0,0.5,,17990.05274005171,6.0,34.51847498406686,701,6.7,True,,,,,-19.40822550135913,0.8670779220779221,21.07109488109752,15400,0.920064935064935,0.9011038961038961,-17.73665947377084,-20.621685522443375,,,,,,,,,,,,,,,,,8224,908,5.19,3fc93f4
